DR1F DR1H DR1O 
DR3O DR2O DR1O 
DR3F DR2H DR1O 
DR3H DR2F DR1O 
DG1O DP1O DR1O 
DG1F DP1H DR1O 
DG1H DP1F DR1O 
DG3O DP2O DR1O 
DG3F DP2H DR1O 
DG3H DP2F DR1O 
DG2O DP3O DR1O 
DG2F DP3H DR1O 
DG2H DP3F DR1O 
SR1O OR1O DR1O 
SR1F OR1H DR1O 
SR1H OR1F DR1O 
SR3O OR2O DR1O 
SR3F OR2H DR1O 
SR3H OR2F DR1O 
SR2O OR3O DR1O 
SR2F OR3H DR1O 
SR2H OR3F DR1O 
SG1O OP1O DR1O 
SG1F OP1H DR1O 
SG1H OP1F DR1O 
SG3O OP2O DR1O 
SG3F OP2H DR1O 
SG3H OP2F DR1O 
SG2O OP3O DR1O 
SG2F OP3H DR1O 
SG2H OP3F DR1O 
SP1O OG1O DR1O 
SP1F OG1H DR1O 
SP1H OG1F DR1O 
SP3O OG2O DR1O 
SP3F OG2H DR1O 
SP3H OG2F DR1O 
SP2O OG3O DR1O 
SP2F OG3H DR1O 
SP2H OG3F DR1O 
DR3F DR2O DR1H 
DR3H DR2H DR1H 
DR3O DR2F DR1H 
DG1F DP1O DR1H 
DG1H DP1H DR1H 
DG1O DP1F DR1H 
DG3F DP2O DR1H 
DG3H DP2H DR1H 
DG3O DP2F DR1H 
DG2F DP3O DR1H 
DG2H DP3H DR1H 
DG2O DP3F DR1H 
SR1F OR1O DR1H 
SR1H OR1H DR1H 
SR1O OR1F DR1H 
SR3F OR2O DR1H 
SR3H OR2H DR1H 
SR3O OR2F DR1H 
SR2F OR3O DR1H 
SR2H OR3H DR1H 
SR2O OR3F DR1H 
SG1F OP1O DR1H 
SG1H OP1H DR1H 
SG1O OP1F DR1H 
SG3F OP2O DR1H 
SG3H OP2H DR1H 
SG3O OP2F DR1H 
SG2F OP3O DR1H 
SG2H OP3H DR1H 
SG2O OP3F DR1H 
SP1F OG1O DR1H 
SP1H OG1H DR1H 
SP1O OG1F DR1H 
SP3F OG2O DR1H 
SP3H OG2H DR1H 
SP3O OG2F DR1H 
SP2F OG3O DR1H 
SP2H OG3H DR1H 
SP2O OG3F DR1H 
DR3H DR2O DR1F 
DR3O DR2H DR1F 
DR3F DR2F DR1F 
DG1H DP1O DR1F 
DG1O DP1H DR1F 
DG1F DP1F DR1F 
DG3H DP2O DR1F 
DG3O DP2H DR1F 
DG3F DP2F DR1F 
DG2H DP3O DR1F 
DG2O DP3H DR1F 
DG2F DP3F DR1F 
SR1H OR1O DR1F 
SR1O OR1H DR1F 
SR1F OR1F DR1F 
SR3H OR2O DR1F 
SR3O OR2H DR1F 
SR3F OR2F DR1F 
SR2H OR3O DR1F 
SR2O OR3H DR1F 
SR2F OR3F DR1F 
SG1H OP1O DR1F 
SG1O OP1H DR1F 
SG1F OP1F DR1F 
SG3H OP2O DR1F 
SG3O OP2H DR1F 
SG3F OP2F DR1F 
SG2H OP3O DR1F 
SG2O OP3H DR1F 
SG2F OP3F DR1F 
SP1H OG1O DR1F 
SP1O OG1H DR1F 
SP1F OG1F DR1F 
SP3H OG2O DR1F 
SP3O OG2H DR1F 
SP3F OG2F DR1F 
SP2H OG3O DR1F 
SP2O OG3H DR1F 
SP2F OG3F DR1F 
DR2F DR2H DR2O 
DG3O DP1O DR2O 
DG3F DP1H DR2O 
DG3H DP1F DR2O 
DG2O DP2O DR2O 
DG2F DP2H DR2O 
DG2H DP2F DR2O 
DG1O DP3O DR2O 
DG1F DP3H DR2O 
DG1H DP3F DR2O 
SR3O OR1O DR2O 
SR3F OR1H DR2O 
SR3H OR1F DR2O 
SR2O OR2O DR2O 
SR2F OR2H DR2O 
SR2H OR2F DR2O 
SR1O OR3O DR2O 
SR1F OR3H DR2O 
SR1H OR3F DR2O 
SG3O OP1O DR2O 
SG3F OP1H DR2O 
SG3H OP1F DR2O 
SG2O OP2O DR2O 
SG2F OP2H DR2O 
SG2H OP2F DR2O 
SG1O OP3O DR2O 
SG1F OP3H DR2O 
SG1H OP3F DR2O 
SP3O OG1O DR2O 
SP3F OG1H DR2O 
SP3H OG1F DR2O 
SP2O OG2O DR2O 
SP2F OG2H DR2O 
SP2H OG2F DR2O 
SP1O OG3O DR2O 
SP1F OG3H DR2O 
SP1H OG3F DR2O 
DG3F DP1O DR2H 
DG3H DP1H DR2H 
DG3O DP1F DR2H 
DG2F DP2O DR2H 
DG2H DP2H DR2H 
DG2O DP2F DR2H 
DG1F DP3O DR2H 
DG1H DP3H DR2H 
DG1O DP3F DR2H 
SR3F OR1O DR2H 
SR3H OR1H DR2H 
SR3O OR1F DR2H 
SR2F OR2O DR2H 
SR2H OR2H DR2H 
SR2O OR2F DR2H 
SR1F OR3O DR2H 
SR1H OR3H DR2H 
SR1O OR3F DR2H 
SG3F OP1O DR2H 
SG3H OP1H DR2H 
SG3O OP1F DR2H 
SG2F OP2O DR2H 
SG2H OP2H DR2H 
SG2O OP2F DR2H 
SG1F OP3O DR2H 
SG1H OP3H DR2H 
SG1O OP3F DR2H 
SP3F OG1O DR2H 
SP3H OG1H DR2H 
SP3O OG1F DR2H 
SP2F OG2O DR2H 
SP2H OG2H DR2H 
SP2O OG2F DR2H 
SP1F OG3O DR2H 
